"","Predator","Predator_Size","Median_N","Max_N","Min_N","name"
"121","Fish",1000,1.32643511907018,1.33678187663332,1.32144725217296,"Fish"
"122","Fish",1258.92541179417,1.62458996235227,1.6373482386433,1.6150452242863,"Fish"
"123","Fish",1584.89319246111,1.98975473868819,2.0074356151238,1.97105574670784,"Fish"
"124","Fish",1995.26231496888,2.43955643709204,2.46488882531201,2.40793275833188,"Fish"
"125","Fish",2511.88643150958,2.99458022122117,3.03058069988229,2.94702906698016,"Fish"
"126","Fish",3162.27766016838,3.68400442106824,3.7351614990895,3.61605593365366,"Fish"
"127","Fish",3981.07170553497,4.54242767595612,4.61646260966207,4.45101278332365,"Fish"
"128","Fish",5011.87233627272,5.61561066489768,5.72116319060915,5.49868784736354,"Fish"
"129","Fish",6309.57344480194,6.96583869110082,7.11137654542749,6.81988567939373,"Fish"
"130","Fish",7943.28234724279,8.67246849757106,8.86725124527861,8.49357147974908,"Fish"
"131","Fish",10000,10.838054396371,11.0921165739802,10.6221591593366,"Fish"
"132","Fish",12589.2541179417,13.5968908759611,13.9189985056909,13.3381778041538,"Fish"
"133","Fish",15848.9319246111,17.1179225691427,17.5187798217697,16.812746946258,"Fish"
"134","Fish",19952.6231496888,21.6258926302627,22.110365458589,21.2659912150047,"Fish"
"135","Fish",25118.8643150957,27.409511343477,27.9732246338875,26.9798731901772,"Fish"
"136","Fish",31622.7766016838,34.8186287875516,35.4627158160179,34.3137611215008,"Fish"
"137","Fish",39810.7170553499,44.2829643941689,45.0286232706336,43.7230645775518,"Fish"
"138","Fish",50118.7233627271,56.3601855535071,57.237349200381,55.7812411483807,"Fish"
"139","Fish",63095.7344480194,71.8149976499798,72.7982189837035,71.205445618912,"Fish"
"140","Fish",79432.8234724279,91.5331096735752,92.5943794124574,90.8860831919287,"Fish"
"141","Fish",1e+05,116.596681180346,117.718817917702,115.894816747627,"Fish"
"142","Fish",125892.541179417,148.341760562975,149.516126136002,147.543854742113,"Fish"
"143","Fish",158489.319246111,188.32974647557,189.630796222708,187.494949380897,"Fish"
