"","Predator","Predator_Size","Median_N","Max_N","Min_N"
"205","Inactive Cephs",2511.88643150958,3.14904085159375e-09,3.68881755014404e-09,2.70141773786863e-09
"206","Inactive Cephs",3162.27766016838,1.98631403451603e-09,2.33027965915894e-09,1.70208373456266e-09
"207","Inactive Cephs",3981.07170553497,1.2315995967825e-09,1.44663876669311e-09,1.05442498009065e-09
"208","Inactive Cephs",5011.87233627272,7.32639493575724e-10,8.61380432286338e-10,6.26811719449678e-10
"209","Inactive Cephs",6309.57344480194,3.96101647423248e-10,4.66032211177612e-10,3.38715003777983e-10
"210","Inactive Cephs",7943.28234724279,1.64035413375178e-10,1.93086051553022e-10,1.40222849334345e-10
"211","Zooplankton",5.01187233627271e-13,3341950400.26115,3341950400.26115,3341950400.26115
"212","Zooplankton",6.30957344480192e-13,1826484850.41111,1830448411.53225,1825791970.26086
"213","Zooplankton",7.94328234724279e-13,1108703059.52167,1112297408.42894,1108495453.65136
"214","Zooplankton",1e-12,730580810.154116,732559349.854587,729703105.691056
"215","Zooplankton",1.25892541179417e-12,511483432.226269,512353939.260135,510360851.621551
"216","Zooplankton",1.58489319246111e-12,374353198.597853,374650268.052481,373272314.139915
"217","Zooplankton",1.99526231496887e-12,283158819.068466,283243703.057993,282255474.477414
"218","Zooplankton",2.51188643150957e-12,219610546.301847,219680029.59865,218918199.58486
"219","Zooplankton",3.16227766016838e-12,173710748.198782,173845356.773549,173206371.73581
"220","Zooplankton",3.98107170553497e-12,139626306.707952,139836627.931586,139263319.284578
"221","Zooplankton",5.01187233627271e-12,113755273.766254,114018642.808009,113484745.342365
"222","Zooplankton",6.30957344480192e-12,93762345.8437413,94049075.4340038,93545296.76392
"223","Zooplankton",7.94328234724279e-12,78070784.8569198,78360028.4747628,77883955.7428231
"224","Zooplankton",1e-11,65581890.3980666,65867823.9098796,65418700.5203503
"225","Zooplankton",1.25892541179417e-11,55512892.6773652,55803071.5488086,55380787.236088
"226","Zooplankton",1.58489319246111e-11,47298270.4131897,47607207.6185926,47213438.3032827
"227","Zooplankton",1.99526231496887e-11,40525849.4815761,40867333.6805197,40506433.1727376
"228","Zooplankton",2.51188643150957e-11,34951997.7999643,35273835.8732533,34892732.0333356
"229","Zooplankton",3.16227766016838e-11,30314572.168472,30591775.9869139,30173426.5849015
"230","Zooplankton",3.98107170553497e-11,26410359.1789563,26640674.0320048,26196353.7634447
"231","Zooplankton",5.01187233627271e-11,23093805.8701341,23279603.8785403,22826734.621758
"232","Zooplankton",6.30957344480192e-11,20248650.0273268,20396102.2682679,19954685.8054636
"233","Zooplankton",7.94328234724279e-11,17781684.5621056,17898336.7659651,17487690.3722478
"234","Zooplankton",1e-10,15618142.6404145,15710265.9399716,15346686.6287701
"235","Zooplankton",1.25892541179417e-10,13698314.7637302,13769302.4961809,13464860.1861203
"236","Zooplankton",1.58489319246111e-10,11975317.5277165,12025606.3198781,11787946.5256916
"237","Zooplankton",1.99526231496887e-10,10413778.883146,10441945.3219839,10274719.2967245
"238","Zooplankton",2.51188643150957e-10,8988896.09165006,8993220.5242771,8896613.04718729
"239","Zooplankton",3.16227766016838e-10,7665165.31453078,7685261.0543481,7636099.2702816
"240","Zooplankton",3.98107170553497e-10,6484157.35073962,6495149.58444159,6452178.65611864
"241","Zooplankton",5.01187233627271e-10,5416380.47965534,5437531.16987247,5354553.86350683
"242","Zooplankton",6.30957344480192e-10,4450036.49935974,4496295.8128054,4375471.47217889
"243","Zooplankton",7.94328234724279e-10,3598254.13340958,3661842.14837144,3518123.38208086
"244","Zooplankton",1e-09,2862177.866362,2935136.66689257,2783330.55151386
"245","Zooplankton",1.25892541179417e-09,2240245.03681534,2315210.43080745,2168004.62810434
"246","Zooplankton",1.58489319246111e-09,1727126.95971874,1798084.97534001,1664688.08263988
"247","Zooplankton",1.99526231496887e-09,1313633.10639141,1376431.44222951,1262147.99148821
"248","Zooplankton",2.51188643150957e-09,987586.415641544,1040059.91633943,946704.447476208
"249","Zooplankton",3.16227766016838e-09,735298.080073742,777014.722948531,703812.597205584
"250","Zooplankton",3.98107170553497e-09,543094.727627675,574859.203327543,519459.609361611
"251","Zooplankton",5.01187233627271e-09,398470.781464102,421771.851312244,381121.275739838
"252","Zooplankton",6.30957344480194e-09,290710.809761877,307259.32446901,278228.666644498
"253","Zooplankton",7.94328234724279e-09,211054.231858229,222477.023451032,202237.539090018
"254","Zooplankton",1e-08,152569.102426645,160252.990682322,146448.419466059
"255","Zooplankton",1.25892541179417e-08,109890.519912755,114935.025329048,105714.2172622
"256","Zooplankton",1.58489319246111e-08,78927.150268787,82159.8204392242,76130.206142259
"257","Zooplankton",1.99526231496888e-08,56589.7366769629,58608.9680256049,54756.7637034833
"258","Zooplankton",2.51188643150958e-08,40562.3602609672,41786.6775902077,39392.5823521892
"259","Zooplankton",3.16227766016838e-08,29119.3685410531,29833.0554881658,28397.6239514911
"260","Zooplankton",3.98107170553497e-08,20983.0000160096,21374.3287943015,20557.5479273193
"261","Zooplankton",5.01187233627271e-08,15214.1785914764,15405.4016042372,14980.1191519114
"262","Zooplankton",6.30957344480193e-08,11128.9486867349,11198.4390728304,11015.6037707969
"263","Zooplankton",7.9432823472428e-08,8231.82897066961,8234.22167323563,8195.28389463811
"264","Zooplankton",1e-07,6178.14681861315,6184.02319243477,6135.27471414533
