Model,Metric,Group,Level,Value,Variant
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035346542,v20
Feeding + Growth,Total Biomass (g m3),,Community,0.071026564,v20
Feeding + Growth,P:B,Active,Func Group,0.13787873,v20
Feeding + Growth,P:B,Inactive,Func Group,0.11709536,v20
Feeding + Growth,P:B,Fish,Func Group,0.07888245,v20
Feeding + Growth,P:B,Zoo,Func Group,0.64270516,v20
Feeding + Growth,CV,Active,Func Group,55.2882,v20
Feeding + Growth,CV,Inactive,Func Group,54.919,v20
Feeding + Growth,CV,Fish,Func Group,5.43804,v20
Feeding + Growth,CV,Zoo,Func Group,19.7613,v20
Feeding + Growth,Community CV,,Community,7.91997,v20
Feeding + Growth,Mean FG CV,,Community,33.851635,v20
Feeding + Growth,Mean P:B,NA,Community,0.244140425,v20
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000696875,v21
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002425181,v21
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033125407,v21
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035197475,v21
Feeding + Growth,Total Biomass (g m3),,Community,0.071444937,v21
Feeding + Growth,P:B,Active,Func Group,0.13682379,v21
Feeding + Growth,P:B,Inactive,Func Group,0.09641911,v21
Feeding + Growth,P:B,Fish,Func Group,0.07904126,v21
Feeding + Growth,P:B,Zoo,Func Group,0.64498105,v21
Feeding + Growth,CV,Active,Func Group,54.8959,v21
Feeding + Growth,CV,Inactive,Func Group,36.7865,v21
Feeding + Growth,CV,Fish,Func Group,5.36932,v21
Feeding + Growth,CV,Zoo,Func Group,19.333,v21
Feeding + Growth,Community CV,,Community,7.67909,v21
Feeding + Growth,Mean FG CV,,Community,29.09618,v21
Feeding + Growth,Mean P:B,NA,Community,0.239316303,v21
Feeding + Growth,Biomass (g m3),Active,Func Group,0.00078638,v22
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001245781,v22
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033487522,v22
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035432265,v22
Feeding + Growth,Total Biomass (g m3),,Community,0.070951948,v22
Feeding + Growth,P:B,Active,Func Group,0.12948396,v22
Feeding + Growth,P:B,Inactive,Func Group,0.13158288,v22
Feeding + Growth,P:B,Fish,Func Group,0.07899396,v22
Feeding + Growth,P:B,Zoo,Func Group,0.64123141,v22
Feeding + Growth,CV,Active,Func Group,44.0918,v22
Feeding + Growth,CV,Inactive,Func Group,69.8969,v22
Feeding + Growth,CV,Fish,Func Group,5.60595,v22
Feeding + Growth,CV,Zoo,Func Group,20.1056,v22
Feeding + Growth,Community CV,,Community,8.06574,v22
Feeding + Growth,Mean FG CV,,Community,34.9250625,v22
Feeding + Growth,Mean P:B,NA,Community,0.245323053,v22
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000782635,v23
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.00170644,v23
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.03339056,v23
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035333041,v23
Feeding + Growth,Total Biomass (g m3),,Community,0.071212677,v23
Feeding + Growth,P:B,Active,Func Group,0.12840947,v23
Feeding + Growth,P:B,Inactive,Func Group,0.1158155,v23
Feeding + Growth,P:B,Fish,Func Group,0.07892593,v23
Feeding + Growth,P:B,Zoo,Func Group,0.6414386,v23
Feeding + Growth,CV,Active,Func Group,43.1785,v23
Feeding + Growth,CV,Inactive,Func Group,54.7956,v23
Feeding + Growth,CV,Fish,Func Group,5.58708,v23
Feeding + Growth,CV,Zoo,Func Group,20.2274,v23
Feeding + Growth,Community CV,,Community,8.11829,v23
Feeding + Growth,Mean FG CV,,Community,30.947145,v23
Feeding + Growth,Mean P:B,NA,Community,0.241147375,v23
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000773453,v24
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002424311,v24
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033256912,v24
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035206446,v24
Feeding + Growth,Total Biomass (g m3),,Community,0.071661122,v24
Feeding + Growth,P:B,Active,Func Group,0.12747787,v24
Feeding + Growth,P:B,Inactive,Func Group,0.09549284,v24
Feeding + Growth,P:B,Fish,Func Group,0.0790433,v24
Feeding + Growth,P:B,Zoo,Func Group,0.6445299,v24
Feeding + Growth,CV,Active,Func Group,43.0652,v24
Feeding + Growth,CV,Inactive,Func Group,36.7155,v24
Feeding + Growth,CV,Fish,Func Group,5.48058,v24
Feeding + Growth,CV,Zoo,Func Group,19.7576,v24
Feeding + Growth,Community CV,,Community,7.85701,v24
Feeding + Growth,Mean FG CV,,Community,26.25472,v24
Feeding + Growth,Mean P:B,NA,Community,0.236635978,v24
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000873146,v25
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001234132,v25
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033491146,v25
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035410128,v25
Feeding + Growth,Total Biomass (g m3),,Community,0.071008552,v25
Feeding + Growth,P:B,Active,Func Group,0.12146382,v25
Feeding + Growth,P:B,Inactive,Func Group,0.13071489,v25
Feeding + Growth,P:B,Fish,Func Group,0.07906886,v25
Feeding + Growth,P:B,Zoo,Func Group,0.64162679,v25
Feeding + Growth,CV,Active,Func Group,36.9923,v25
Feeding + Growth,CV,Inactive,Func Group,69.6887,v25
Feeding + Growth,CV,Fish,Func Group,5.61819,v25
Feeding + Growth,CV,Zoo,Func Group,20.3106,v25
Feeding + Growth,Community CV,,Community,8.18145,v25
Feeding + Growth,Mean FG CV,,Community,33.1524475,v25
Feeding + Growth,Mean P:B,NA,Community,0.24321859,v25
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000865204,v26
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001685733,v26
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033415695,v26
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035280858,v26
Feeding + Growth,Total Biomass (g m3),,Community,0.071247489,v26
Feeding + Growth,P:B,Active,Func Group,0.12084311,v26
Feeding + Growth,P:B,Inactive,Func Group,0.11528467,v26
Feeding + Growth,P:B,Fish,Func Group,0.07904099,v26
Feeding + Growth,P:B,Zoo,Func Group,0.64171468,v26
Feeding + Growth,CV,Active,Func Group,37.0408,v26
Feeding + Growth,CV,Inactive,Func Group,55.0525,v26
Feeding + Growth,CV,Fish,Func Group,5.73872,v26
Feeding + Growth,CV,Zoo,Func Group,20.3328,v26
Feeding + Growth,Community CV,,Community,8.15393,v26
Feeding + Growth,Mean FG CV,,Community,29.541205,v26
Feeding + Growth,Mean P:B,NA,Community,0.239220863,v26
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000851333,v27
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002391179,v27
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033272432,v27
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035163345,v27
Feeding + Growth,Total Biomass (g m3),,Community,0.071678289,v27
Feeding + Growth,P:B,Active,Func Group,0.1200061,v27
Feeding + Growth,P:B,Inactive,Func Group,0.09496443,v27
Feeding + Growth,P:B,Fish,Func Group,0.07909201,v27
Feeding + Growth,P:B,Zoo,Func Group,0.64410285,v27
Feeding + Growth,CV,Active,Func Group,36.5094,v27
Feeding + Growth,CV,Inactive,Func Group,36.6591,v27
Feeding + Growth,CV,Fish,Func Group,5.5361,v27
Feeding + Growth,CV,Zoo,Func Group,19.7844,v27
Feeding + Growth,Community CV,,Community,7.85087,v27
Feeding + Growth,Mean FG CV,,Community,24.62225,v27
Feeding + Growth,Mean P:B,NA,Community,0.234541348,v27
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000854374,v3
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002680285,v3
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033017258,v3
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.034958456,v3
Feeding + Growth,Total Biomass (g m3),,Community,0.071510372,v3
Feeding + Growth,P:B,Active,Func Group,0.13579328,v3
Feeding + Growth,P:B,Inactive,Func Group,0.09814195,v3
Feeding + Growth,P:B,Fish,Func Group,0.0792055,v3
Feeding + Growth,P:B,Zoo,Func Group,0.64695647,v3
Feeding + Growth,CV,Active,Func Group,53.2406,v3
Feeding + Growth,CV,Inactive,Func Group,38.235,v3
Feeding + Growth,CV,Fish,Func Group,5.29975,v3
Feeding + Growth,CV,Zoo,Func Group,19.2029,v3
Feeding + Growth,Community CV,,Community,7.50139,v3
Feeding + Growth,Mean FG CV,,Community,28.9945625,v3
Feeding + Growth,Mean P:B,NA,Community,0.2400243,v3
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000962815,v4
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001394969,v4
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.03342461,v4
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035371668,v4
Feeding + Growth,Total Biomass (g m3),,Community,0.071154061,v4
Feeding + Growth,P:B,Active,Func Group,0.12851783,v4
Feeding + Growth,P:B,Inactive,Func Group,0.13174242,v4
Feeding + Growth,P:B,Fish,Func Group,0.07900185,v4
Feeding + Growth,P:B,Zoo,Func Group,0.64165574,v4
Feeding + Growth,CV,Active,Func Group,43.2713,v4
Feeding + Growth,CV,Inactive,Func Group,70.6516,v4
Feeding + Growth,CV,Fish,Func Group,5.68645,v4
Feeding + Growth,CV,Zoo,Func Group,20.4495,v4
Feeding + Growth,Community CV,,Community,8.17197,v4
Feeding + Growth,Mean FG CV,,Community,35.0147125,v4
Feeding + Growth,Mean P:B,NA,Community,0.24522946,v4
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000957437,v5
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001908631,v5
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033309891,v5
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035214679,v5
Feeding + Growth,Total Biomass (g m3),,Community,0.071390638,v5
Feeding + Growth,P:B,Active,Func Group,0.1271963,v5
Feeding + Growth,P:B,Inactive,Func Group,0.1165482,v5
Feeding + Growth,P:B,Fish,Func Group,0.0789719,v5
Feeding + Growth,P:B,Zoo,Func Group,0.6440718,v5
Feeding + Growth,CV,Active,Func Group,42.2994,v5
Feeding + Growth,CV,Inactive,Func Group,55.7574,v5
Feeding + Growth,CV,Fish,Func Group,5.46023,v5
Feeding + Growth,CV,Zoo,Func Group,20.2032,v5
Feeding + Growth,Community CV,,Community,8.04137,v5
Feeding + Growth,Mean FG CV,,Community,30.9300575,v5
Feeding + Growth,Mean P:B,NA,Community,0.24169705,v5
Feeding + Growth,Biomass (g m3),Active,Func Group,0.00094425,v6
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002721455,v6
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.03316244,v6
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035006001,v6
Feeding + Growth,Total Biomass (g m3),,Community,0.071834146,v6
Feeding + Growth,P:B,Active,Func Group,0.12624901,v6
Feeding + Growth,P:B,Inactive,Func Group,0.09690541,v6
Feeding + Growth,P:B,Fish,Func Group,0.0791433,v6
Feeding + Growth,P:B,Zoo,Func Group,0.64715649,v6
Feeding + Growth,CV,Active,Func Group,41.7119,v6
Feeding + Growth,CV,Inactive,Func Group,38.1837,v6
Feeding + Growth,CV,Fish,Func Group,5.3625,v6
Feeding + Growth,CV,Zoo,Func Group,19.4803,v6
Feeding + Growth,Community CV,,Community,7.65238,v6
Feeding + Growth,Mean FG CV,,Community,26.1846,v6
Feeding + Growth,Mean P:B,NA,Community,0.237363553,v6
Feeding + Growth,Biomass (g m3),Active,Func Group,0.001069036,v7
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001389491,v7
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033402599,v7
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035308962,v7
Feeding + Growth,Total Biomass (g m3),,Community,0.071170088,v7
Feeding + Growth,P:B,Active,Func Group,0.12055675,v7
Feeding + Growth,P:B,Inactive,Func Group,0.1306292,v7
Feeding + Growth,P:B,Fish,Func Group,0.07911745,v7
Feeding + Growth,P:B,Zoo,Func Group,0.64193099,v7
Feeding + Growth,CV,Active,Func Group,36.4417,v7
Feeding + Growth,CV,Inactive,Func Group,70.2049,v7
Feeding + Growth,CV,Fish,Func Group,5.65867,v7
Feeding + Growth,CV,Zoo,Func Group,20.5245,v7
Feeding + Growth,Community CV,,Community,8.20251,v7
Feeding + Growth,Mean FG CV,,Community,33.2074425,v7
Feeding + Growth,Mean P:B,NA,Community,0.243058598,v7
Feeding + Growth,Biomass (g m3),Active,Func Group,0.001058521,v8
