"","Predator","Predator_Size_Class","Predator_Size","Median_RTP","Max_RTP","Min_RTP","Func_Group"
"124","Active Cephs",124,1,4.80080589291846,5.01956197065925,4.69534230418292,"High Activity"
"125","Active Cephs",125,1.25892541179417,4.85054389011907,5.06920111661934,4.74175615175219,"High Activity"
"126","Active Cephs",126,1.58489319246111,4.90188305459572,5.11854597305429,4.7905524816532,"High Activity"
"127","Active Cephs",127,1.99526231496888,4.95410133210688,5.16722481629851,4.84170016216839,"High Activity"
"128","Active Cephs",128,2.51188643150958,5.00639123126694,5.21593310109124,4.89440841061493,"High Activity"
"129","Active Cephs",129,3.16227766016838,5.05797161901256,5.26381646171568,4.94765997617732,"High Activity"
"130","Active Cephs",130,3.98107170553497,5.10868859122554,5.31066427802953,4.99974033021931,"High Activity"
"131","Active Cephs",131,5.01187233627271,5.15803606850823,5.35655822155123,5.05089919017094,"High Activity"
"132","Active Cephs",132,6.30957344480194,5.20611200360758,5.40179082559679,5.10032387729268,"High Activity"
"133","Active Cephs",133,7.94328234724282,5.25304850795884,5.44653283353898,5.14747391227215,"High Activity"
"134","Active Cephs",134,10,5.29903501982549,5.49077384953505,5.19365284279806,"High Activity"
"135","Active Cephs",135,12.5892541179417,5.34425846088289,5.53465798938697,5.23906067664597,"High Activity"
"136","Active Cephs",136,15.8489319246111,5.38887244640215,5.57833062250233,5.283861573827,"High Activity"
"137","Active Cephs",137,19.9526231496888,5.43299466708389,5.62194123228507,5.32816456484234,"High Activity"
"138","Active Cephs",138,25.1188643150958,5.47672143176211,5.66564424402935,5.37203123224831,"High Activity"
"139","Active Cephs",139,31.6227766016838,5.52014633522578,5.70959699421533,5.41549780863409,"High Activity"
"140","Active Cephs",140,39.8107170553497,5.5633742846405,5.75395522857297,5.45848046415586,"High Activity"
"141","Active Cephs",141,50.1187233627271,5.60652779372648,5.79886692355203,5.50102310082327,"High Activity"
"142","Active Cephs",142,63.0957344480194,5.64974632723672,5.84446520928104,5.54332638722839,"High Activity"
"143","Active Cephs",143,79.4328234724282,5.69318100273935,5.89086103732883,5.58550049135665,"High Activity"
"144","Active Cephs",144,100,5.73698693766015,5.9381361350669,5.62767671161778,"High Activity"
"145","Active Cephs",145,125.892541179417,5.78131994571144,5.98633722916785,5.67002574307548,"High Activity"
"146","Active Cephs",146,158.489319246111,5.82630696434794,6.0354686641031,5.71268250176546,"High Activity"
"147","Active Cephs",147,199.526231496888,5.87205770625065,6.08549279569232,5.75578207040724,"High Activity"
"148","Active Cephs",148,251.188643150958,5.9186575399625,6.136328882448,5.7994534300847,"High Activity"
"149","Active Cephs",149,316.227766016838,5.96616094859828,6.18785498094763,5.84381312534539,"High Activity"
"150","Active Cephs",150,398.107170553497,6.01458611849791,6.23991304696015,5.88895909153082,"High Activity"
"151","Active Cephs",151,501.187233627271,6.06391124022867,6.29231707320793,5.93496491413215,"High Activity"
"152","Active Cephs",152,630.957344480194,6.11407306887552,6.34486368070387,5.98187483004501,"High Activity"
"153","Active Cephs",153,794.328234724282,6.16496816722634,6.39734420610192,6.02969981585718,"High Activity"
"154","Active Cephs",154,1000,6.21645703389916,6.44955708047782,6.07841512576737,"High Activity"
"155","Active Cephs",155,1258.92541179417,6.26837101198562,6.50131923999046,6.12795962134172,"High Activity"
"156","Active Cephs",156,1584.89319246111,6.3205215247724,6.55247546368191,6.17823715758125,"High Activity"
"157","Active Cephs",157,1995.26231496888,6.37271085917231,6.60290486185627,6.22912014539666,"High Activity"
"158","Active Cephs",158,2511.88643150958,6.42474348666741,6.65252416181764,6.28026788597714,"High Activity"
"159","Active Cephs",159,3162.27766016838,6.47643683182465,6.70128786239077,6.33168740377815,"High Activity"
"160","Active Cephs",160,3981.07170553497,6.52763049067262,6.74918567365867,6.38324714789991,"High Activity"
"161","Active Cephs",161,5011.87233627272,6.57819314372898,6.79623787558641,6.43477074229616,"High Activity"
"162","Active Cephs",162,6309.57344480194,6.62802674433999,6.84248930902654,6.48608692716162,"High Activity"
"163","Active Cephs",163,7943.28234724279,6.67706791892089,6.88800267685465,6.53703767747408,"High Activity"
"164","Active Cephs",164,10000,NA,NA,NA,"High Activity"
"165","Active Cephs",165,12589.2541179417,NA,NA,NA,"High Activity"
"166","Active Cephs",166,15848.9319246111,NA,NA,NA,"High Activity"
"167","Active Cephs",167,19952.6231496888,NA,NA,NA,"High Activity"
"168","Active Cephs",168,25118.8643150957,NA,NA,NA,"High Activity"
"169","Active Cephs",169,31622.7766016838,NA,NA,NA,"High Activity"
"170","Active Cephs",170,39810.7170553499,NA,NA,NA,"High Activity"
"171","Active Cephs",171,50118.7233627271,NA,NA,NA,"High Activity"
"172","Active Cephs",172,63095.7344480194,NA,NA,NA,"High Activity"
"173","Active Cephs",173,79432.8234724279,NA,NA,NA,"High Activity"
"174","Active Cephs",174,1e+05,NA,NA,NA,"High Activity"
"175","Active Cephs",175,125892.541179417,NA,NA,NA,"High Activity"
"176","Active Cephs",176,158489.319246111,NA,NA,NA,"High Activity"
"177","Active Cephs",177,199526.231496888,NA,NA,NA,"High Activity"
"178","Active Cephs",178,251188.643150957,NA,NA,NA,"High Activity"
"179","Active Cephs",179,316227.766016838,NA,NA,NA,"High Activity"
"180","Active Cephs",180,398107.170553499,NA,NA,NA,"High Activity"
"181","Active Cephs",181,501187.233627271,NA,NA,NA,"High Activity"
"182","Active Cephs",182,630957.344480194,NA,NA,NA,"High Activity"
"183","Active Cephs",183,794328.234724279,NA,NA,NA,"High Activity"
"184","Active Cephs",184,1e+06,NA,NA,NA,"High Activity"
"185","Fish",1,5.01187233627271e-13,NA,NA,NA,"Fish"
"186","Fish",2,6.30957344480192e-13,NA,NA,NA,"Fish"
"187","Fish",3,7.94328234724279e-13,NA,NA,NA,"Fish"
"188","Fish",4,1e-12,NA,NA,NA,"Fish"
"189","Fish",5,1.25892541179417e-12,NA,NA,NA,"Fish"
"190","Fish",6,1.58489319246111e-12,NA,NA,NA,"Fish"
"191","Fish",7,1.99526231496887e-12,NA,NA,NA,"Fish"
